,link,name,user rating,Price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Finger Print Sensor,Keyboard,Backlit Keyboard,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Ethernet,Web Camera,Pointer Device,Included Software,Battery Backup,Chipset,Memory Slots,RAM Frequency,RJ45,Sound Chip,Brightness,Laptop Bag,Other Accessories,International Warranty,Wireless WAN,Recovery Options,RPM,Hardware Interface,Face Recognition,System Architecture,Refresh Rate,Antivirus,Multi Card Slot,Lock Port,NFC Support,HDD Capacity,Stylus Included,TGP,VGA Port,Color Gamut,Security Chip,Inbuilt 4G LTE,Cloud Storage,S-video,Dock Port,Firewire Port,RJ11,Read/Write Speed,EMMC Storage Capacity,Optane Memory
146,https://www.flipkart.com/hp-omen-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-amd-radeon-rx-6600m-16-c0140ax-gaming-laptop/p/itme4e3070b0d22d?pid=COMGBHZBXBVHCZZR&lid=LSTCOMGBHZBXBVHCZZRUJZO5Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_147&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGBHZBXBVHCZZR.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP OMEN Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/AMD Radeon RX 6600M) 16-C0140AX Gaming Laptop  (16.1 inch, Mica Silver, 2.32 Kg, With MS Office)",,"?1,25,500","Laptop, Power Adaptor, User Guide, Warranty Documents",16-C0140AX,4A3E5PA#ACJ,16-C0140AX,OMEN,Mica Silver,Gaming Laptop,Gaming,,6 cell,Yes,,,AMD,Ryzen 7 Octa Core,,Yes,1 TB,16 GB,DDR4,5800H,"Base Clock 3.2 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",16,16,AMD Radeon RX 6600M,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge), 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 2.1,No,40.89 cm (16.1 inch),1920 x 1080 Pixel,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi, Color Gamut: 100% Srgb",Built-in Dual Speakers,Built-in dual array microphones,Audio by Bang & Olufsen,Intel Wi-Fi AX210 (2x2),v5.2,369 x 245 x 22.5 mm,2.32 Kg,Not Available,No,"Full-size, 4-zone RGB backlit, mica silver keyboard",Yes,"26-Key Rollover Anti-Ghosting Key technology, , 83 Wh Li-ion polymer battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,Integrated 10/100/1000 GbE LAN,HP Wide Vision 720p HD camera,,"Microsoft Office Home & Student 2019, HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts",,,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-1-tb-hdd-windows-11-home-250-g8-laptop/p/itm9e7a332df686d?pid=COMGCNKBKK3YE6AG&lid=LSTCOMGCNKBKK3YE6AGAQN2XS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_148&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCNKBKK3YE6AG.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) 250 G8 Laptop  (15.6 inch, Dark Ash)",,"?40,699","Laptop, AC Adapter, User Guide, Manuals",250 G8,64Q89PA,250 G8,,Dark Ash,Laptop,Processing & Multitasking,,,No,,,Intel,Core i3,11th Gen,No,,8 GB,DDR4,,,,,Intel Integrated,,,Windows 11 Home,,,,,No,39.62 cm (15.6 inch),1366 x 768 pixel,,,,,,YES,,,Not Available,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,,,,,UPTO 6 HRS,,,,,,,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,
148,https://www.flipkart.com/hp-ryzen-3-dual-core-8-gb-1-tb-hdd-windows-11-home-255-g8-laptop/p/itmf331437e14cac?pid=COMGCG5PKRXAMBZ8&lid=LSTCOMGCG5PKRXAMBZ8JBSD39&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_149&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCG5PKRXAMBZ8.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP Ryzen 3 Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 255 G8 Laptop  (15.6 inch, Dark Ash)",4.1,"?37,990","Laptop, AC Adapter, User Guide, Manuals",255 G8,64Q84PA,255 G8,,Dark Ash,Laptop,Processing & Multitasking,,,No,,,AMD,Ryzen 3 Dual Core,,No,,8 GB,DDR4,,,,,AMD Radeon,,,Windows 11 Home,,,,,No,39.62 cm (15.6 inch),1366 x 768 pixel,,,,,,YES,,,Not Available,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,,,,,UPTO 6 HRS,,,,,,,,,,,,,,,,,,,,,1 TB,,,,,,,,,,,,,,
149,https://www.flipkart.com/asus-rog-strix-g15-ryzen-7-octa-core-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-g513ic-hn025w-gaming-laptop/p/itm8e5ef2d250684?pid=COMGAD9VKCWK8CZU&lid=LSTCOMGAD9VKCWK8CZUU4ICFA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_150&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGAD9VKCWK8CZU.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050/144 Hz) G513IC-HN025W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)",4.6,"?83,990","Laptop, Battery, AC Adapter",G513IC-HN025W,90NR0502-M01540,G513IC-HN025W,ROG Strix G15,Eclipse Gray,Gaming Laptop,"Gaming, Processing & Multitasking",200W AC Adapter,4,No,GDDR6,4 GB,AMD,Ryzen 7 Octa Core,,Yes,512 GB,8 GB,DDR4,4800H,4.2,32,12,NVIDIA GeForce RTX RTX 3050,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 3.2 Gen 2 Type-C, 3x USB 3.2 Gen 1 Type-A",1x HDMI 2.0b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD (Brightness 250nits, NTSC % 45%, SRGB % 62.5%)",Dual Speakers,Built in array microphone,,Wi-Fi 6(802.11ax),v5.1,354 x 259 x 20.6 mm,2.10 Kg,Not Available,,Backlit Chiclet Keyboard 4-Zone RGB,Yes,Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,2,,,,,,,,,,,NVMe PCIe,,64,144 Hz,,,,,,,,,,,,,,,,,,,
150,https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lh-hn258ws-laptop/p/itm57d649902588e?pid=COMGB732MK9RHD5P&lid=LSTCOMGB732MK9RHD5PEVWULF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_151&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGB732MK9RHD5P.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX GTX 1650/144 Hz) FX506LH-HN258WS Gaming Laptop  (15.6 Inch, Black Plastic, 2.30 Kg, With MS Office)",4.5,"?61,986","Laptop, Power Adaptor, User Guide, Warranty Documents",FX506LH-HN258WS,90NR03U2-M10250,FX506LH-HN258WS,TUF Gaming F15,Black Plastic,Gaming Laptop,Gaming,150W AC Adapter,3,Yes,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,10300H,4.5,32,8,NVIDIA GeForce GTX GTX 1650,4,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C support DisplayPort",1x HDMI 2.0b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels pixel,"FHD, Value IPS-level, anti-glare display (250nits Brightness, 62.5% SRGB)",Built in dual speakers,Built-in array microphone,,Wi-Fi 6(802.11ax),v5.2,359 x 256 x 24.9 mm,2.30 Kg,Not Available,,Backlit Chiclet Keyboard RGB,Yes,"48WHrs, 3S1P, Li-ion battery",1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,720P HD camera,,,,Mobile Intel HM470 Express Chipsets,2,,,,,,,,,,,NVMe PCIe,,64,144 Hz,,,,,,,,,,,,,,,,,,,
151,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-250-g8-laptop/p/itm9c665b78ea501?pid=COMGCNKD9QFSHUYP&lid=LSTCOMGCNKD9QFSHUYPF8H4O5&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_152&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCNKD9QFSHUYP.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Laptop  (15.6 inch, Dark Ash)",,"?43,199","Laptop, AC Adapter, User Guide, Manuals",250 G8,5T9P8PA,250 G8,,Dark Ash,Laptop,Processing & Multitasking,,,No,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,,,,,Intel Integrated,,,Windows 11 Home,,,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,,YES,,,Not Available,,,,,1 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,,,,,UPTO 6 HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,https://www.flipkart.com/asus-ryzen-7-octa-core-5800hs-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ga401qc-k2188ws-gaming-laptop/p/itm0dd73513897c2?pid=COMGBFFGWUZ9J9TZ&lid=LSTCOMGBFFGWUZ9J9TZUVRGLT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_153&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGBFFGWUZ9J9TZ.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS Ryzen 7 Octa Core 5800HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX GeForce RTX 3050) GA401QC-K2188WS Gaming Laptop  (14 Inch, Eclipse Gray, 1.60 Kg, With MS Office)",,"?1,14,990","Laptop, Power Adaptor, User Guide, Warranty Documents",GA401QC-K2188WS,90NR05T3-M002M0,GA401QC-K2188WS,,Eclipse Gray,Gaming Laptop,Gaming,180W AC Adapter,4,Yes,GDDR6,4 GB,AMD,Ryzen 7 Octa Core,,Yes,1 TB,16 GB,DDR4,5800HS,4.4,24,20,NVIDIA GeForce RTX GeForce RTX 3050,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 3.2 Gen 2 Type-C, 1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2x USB 3.2 Gen 1 Type-A",1x HDMI 2.0b,No,35.56 cm (14 Inch),2560 x 1440 Pixels,"WQHD, IPS-level (Brightness 300, DCI-P3 % 100%)","2x 0.7W tweeter, 2x 2.5W speaker with Smart Amp Technology",Built-in array microphone,,Wi-Fi 6(802.11ax),v5.1,324 x 222 x 17.9 mm,1.60 Kg,Not Available,Yes,Backlit Chiclet Keyboard,Yes,"76WHrs, 4-cell Li-ion",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,3200 MHz,,,,,,,,,,NVMe PCIe,,64,,,,,,,,,,,,,,,,,,,,
153,https://www.flipkart.com/asus-ryzen-7-octa-core-6800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-144-hz-fa777rm-hx019w-gaming-laptop/p/itm5271e50c6a0a5?pid=COMGCFMVHRVJHGPC&lid=LSTCOMGCFMVHRVJHGPC4QNBZ8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_154&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCFMVHRVJHGPC.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX RTX 3060/144 Hz) FA777RM-HX019W Gaming Laptop  (17.3 Inch, Jaeger Gray, 2.60 Kg)",,"?1,33,990","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",FA777RM-HX019W,90NR0972-M000R0,FA777RM-HX019W,,Jaeger Gray,Gaming Laptop,Processing & Multitasking,240W AC Adapter,4,No,GDDR6,6 GB,AMD,Ryzen 7 Octa Core,,Yes,1 TB,16 GB,DDR5,6800H,4.7,32,20,NVIDIA GeForce RTX RTX 3060,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x USB 3.2 Gen 1 Type-C, 1x USB 3.2 Gen 1 Type-C support DisplayPort / G-SYNC, 2x USB 3.2 Gen 1 Type-A",1x HDMI 2.0b,No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,"FHD, Value IPS-level (Brightness 250, NTSC 45%, SRGB 62.50%)",Dual speakers,Built-in array microphone,,Wi-Fi 6(802.11ax),v5.2,229 x 254 x 24.4 mm,2.60 Kg,Not Available,,Backlit Chiclet Keyboard RGB,Yes,"90WHrs, 4S1P, Li-ion Battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,720P HD camera,,,,,2,4800 MHz,Yes,,,,,,,,,NVMe PCIe,,64,144 Hz,,,,,,,,,,Kensington Security Slot,,,,,,,,,
154,https://www.flipkart.com/hp-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-14s-dq3032tu-thin-light-laptop/p/itm7ffbb3110f6b6?pid=COMGBH9J82F6XTSG&lid=LSTCOMGBH9J82F6XTSGY5BLIR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_155&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGBH9J82F6XTSG.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3032tu Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)",3.9,"?32,990","Laptop, Power Adaptor, User Guide, Warranty Documents",14s-dq3032tu,637S3PA#ACJ,14s-dq3032tu,,Jet Black,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,3 cell,Yes,,,Intel,Celeron Dual Core,,Yes,256 GB,8 GB,DDR4,N4500,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,,4,Intel Integrated UHD,2,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,35.56 cm (14 inch),1366 x 768 Pixel,"HD micro-edge, BrightView, Brightness: 250 nits, 112 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1),v4.2,324 x 225 x 17.9 mm,1.46 kg,Not Available,No,"Full-size, Jet Black Keyboard",No,"41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,HP True Vision 720p HD camera,,"Microsoft Office Home & Student 2019, HP Documentation",,,,,,,,,,,,,,,,,,,1 x card reader,,,,,,,,,,,,,,,,,
155,https://www.flipkart.com/lenovo-yoga-6-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-13alc6-2-1-laptop/p/itm4262678e0b145?pid=COMGCJDSG3MEUFFM&lid=LSTCOMGCJDSG3MEUFFMJFLFQN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_156&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCJDSG3MEUFFM.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"Lenovo Yoga 6 Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.32 Kg, With MS Office)",,"?79,998","2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",13ALC6,82ND000FIN,Yoga 6,Yoga 6,Abyss Blue,2 in 1 Laptop,Processing & Multitasking,45 W AC Adapter,,Yes,,,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR4,5700U,1.8 GHz with Turbo Boost Upto 4.3 GHz,,12,AMD Radeon,8,64 bit,Windows 11 Home,,Yes,"1 x USB-C 3.2 Gen 1 (Support Data Transfer and Display Port 1.4), 2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery 3.0 and Display Port 1.4)",,Yes,33.78 cm (13.3 inch),1920 x 1080 Pixels,"Full HD IPS Glossy Touch Display (300 nits Brightness, 72% NTSC Color Gamut)",Built-in Speakers,Integrated Dual Array Digital Microphones,"2 x 2 W Stereo Speakers, Dolby Atmos, High Definition (HD) Audio",11ax (2x2),v5.0,308.1 x 206.5 x 18.3 mm,1.32 Kg,Not Available,Yes,Backlit English Keyboard,Yes,"60 Whr Battery, ENERGY STAR 8.0, ErP Lot 3, RoHS Compliant, Lenovo Digital Pen Support",3 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,720p Webcam,Touchpad,Microsoft Office Home and Student 2021,Upto 13,AMD SoC Platform,,,,High Definition (HD) Audio,,,,,,,,PCIe NVMe,,64,,,,,,,,,,,,,,,,,,,,
156,https://www.flipkart.com/asus-pentium-quad-core-10th-gen-4-gb-128-gb-ssd-128-emmc-storage-windows-11-home-t3300ka-lq121ws-2-1-laptop/p/itm2128798db6a36?pid=COMGCDT6K5YYZD8A&lid=LSTCOMGCDT6K5YYZD8A1GYB0V&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_157&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCDT6K5YYZD8A.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS Pentium Quad Core 10th Gen - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home) T3300KA-LQ121WS 2 in 1 Laptop  (13.3 inch, Black, With MS Office)",,"?54,100","Laptop, Charger, User Manual, Sleeve, Stand, Stylus, Stylus holder",T3300KA-LQ121WS,90NB0VC2-M002X0,Slate,,Black,2 in 1 Laptop,Entertainment,,,Yes,DDR4,,Intel,Pentium Quad Core,10th Gen,No,128 GB,4 GB,DDR4,,,,,Intel Integrated intel hd,,,Windows 11 Home,,,,,Yes,33.78 cm (13.3 inch),1920 x 1080$$Pixels pixel,,,,,,yes,,,Not Available,,,,,1 Year Warranty,On Site,Manufacturing Defect,Damage Burn,,,,,,3 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 GB,
157,https://www.flipkart.com/asus-core-i7-11th-gen-16-gb-512-gb-ssd-4-emmc-storage-windows-10-home-4-graphics-nvidia-geforce-rtx-nvidia-3050-fx706hcb-hx193t-gaming-laptop/p/itmc2cd87daa341f?pid=COMGC5QBV3H2M3YP&lid=LSTCOMGC5QBV3H2M3YPCQJUEZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_158&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGC5QBV3H2M3YP.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"ASUS Core i7 11th Gen - (16 GB/512 GB SSD/4 GB EMMC Storage/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX NVIDIA GeForce RTX 3050) FX706HCB-HX193T Gaming Laptop  (17.3 inch, Black)",,"?95,990","Laptop, Adaptor, Manual",FX706HCB-HX193T,90NR0734-M04100,TUF Gaming F17,,Black,Gaming Laptop,"Gaming, Performance, Processing & Multitasking, Entertainment",,,No,GDDR6,4 GB,Intel,Core i7,11th Gen,Yes,512 GB,16 GB,DDR4,,,,,NVIDIA GeForce RTX NVIDIA GeForce RTX 3050,,,Windows 10 Home,,,,,No,43.94 cm (17.3 inch),1920 x 1080$$Pixels pixel,,,,,,yes,,,Not Available,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 GB,
158,https://www.flipkart.com/hp-probook-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-pro-450-g8-laptop/p/itm73bebc9b88f8a?pid=COMGCG6MWR4AVSPD&lid=LSTCOMGCG6MWR4AVSPDCSETQ9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_159&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGCG6MWR4AVSPD.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"HP ProBook Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Pro) 450 G8 Laptop  (15.6 inch, Pike Silver Aluminum)",,"?89,251","Laptop, AC Adapter, User Guide, Manuals",450 G8,364C7PA,450 G8,ProBook,Pike Silver Aluminum,Laptop,Processing & Multitasking,,,No,,,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,,,,Intel Integrated,,,Windows 10 Pro,,,,,No,39.62 cm (15.6 inch),1366 x 768 pixel,,,,,,YES,,,Not Available,,,,,3 YEAR,ONSITE,MANUFACTURING DAMAGE,PHYSICAL DAMAGE,,,,,,UPTO 6 HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,https://www.flipkart.com/msi-raider-ge66-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-12ugs-096in-gaming-laptop/p/itma9cc4f764c592?pid=COMGAE6BUHSSQAGF&lid=LSTCOMGAE6BUHSSQAGFR1N8AR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_160&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=21fe1715-1274-454f-b672-703b04ce5a95.COMGAE6BUHSSQAGF.SEARCH&ssid=k3w59zhoio2x9s741653220445133,"MSI Raider GE66 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) Raider GE66 12UGS-096IN Gaming Laptop  (15.6 inch, Titanium Blue, 2.38 kg)",,"?2,59,990","Laptop, Battery, Power Adapter, User Guide, Laptop Bag",Raider GE66 12UGS-096IN,9S7-154414-096,Raider GE66 12UGS,Raider GE66,Titanium Blue,Gaming Laptop,Processing & Multitasking,280 W Adapter,4 Cell,No,GDDR6,8 GB,Intel,Core i7,12th Gen,Yes,1 TB,16 GB,DDR5,12700H,3.0 GHz upto max turbo frequency at 4.7 GHz,,,NVIDIA GeForce RTX 3070 Ti,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Type-C (USB 3.2 Gen2 / DP),1 x Type-C (USB/ DP/ Thunderbolt 4), 2 x Type-A USB 3.2 Gen 1,1 x Type-A USB 3.2 Gen 2",1 x HDMI,No,39.62 cm (15.6 inch),2560 x 1440 Pixel,"Quad HD, 240 Hz (DCI-P3 100% typical)",Built-in Dual Speakers,Yes,Realtek ALC 298,Intel Killer Wi-Fi 6E AX1675(i),v5.2,358 x 267 x 23.4 mm,2.38 kg,Not Available,,Per Key RGB Steel Series,No,,2 Year Warranty Term,Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,Yes,Full HD,,,,,,,Yes,,,Yes,,,,,,NVMe PCIe,,64 Bit,,,1 x SD Express,,,,,,,,,,,,,,,NA,,
